rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
19.73170731707317,1618,0,82,33.51431990243902,4844,0.05,1417,0.0001,3.273322343826294
19.795180722891565,1643,0,83,33.112293939759034,4945,0.05,1442,0.0001,1.251962423324585
19.75,1659,0,84,33.32718479761905,5014,0.05,1458,0.0001,1.8059284687042236
19.71764705882353,1676,0,85,33.00227371764706,5085,0.05,1475,0.0001,1.2442395687103271
19.662790697674417,1691,0,86,33.72035015116279,5149,0.05,1490,0.0001,1.3953545093536377
19.724137931034484,1716,0,87,33.97159978160919,5249,0.05,1515,0.0001,2.209198474884033
19.738636363636363,1737,0,88,34.17258412500001,5336,0.05,1536,0.0001,1.9056178331375122
19.820224719101123,1764,0,89,34.416850224719106,5442,0.05,1563,0.0001,2.3692538738250732
19.77777777777778,1780,0,90,34.03491714444445,5511,0.05,1579,0.0001,1.7668308019638062
19.714285714285715,1794,0,91,34.624851593406596,5570,0.05,1593,0.0001,1.3731350898742676
19.782608695652176,1820,0,92,34.75860969565218,5676,0.05,1619,0.0001,3.5401663780212402
19.731182795698924,1835,0,93,34.43320092473119,5738,0.05,1634,0.0001,2.0309653282165527
19.69148936170213,1851,0,94,34.582254957446814,5807,0.05,1650,0.0001,2.0206410884857178
19.621052631578948,1864,0,95,35.10188502105264,5862,0.05,1663,0.0001,1.1203991174697876
19.635416666666668,1885,0,96,34.748064802083334,5950,0.05,1684,0.0001,2.48401141166687
19.5979381443299,1901,0,97,34.440361773195875,6015,0.05,1700,0.0001,3.685218572616577
19.56122448979592,1917,0,98,34.078082,6084,0.05,1716,0.0001,2.1518802642822266
19.636363636363637,1944,0,99,34.11705544444444,6189,0.05,1743,0.0001,1.6801964044570923
19.6,1960,0,100,34.26107167,6258,0.05,1759,0.0001,4.770471096038818
19.53,1977,0,101,34.04944439,6327,0.05,1776,0.0001,1.9060505628585815
19.52,2001,0,102,34.10876792,6426,0.05,1800,0.0001,2.0285937786102295
19.52,2022,0,103,34.832877090000004,6509,0.05,1821,0.0001,2.324418544769287
19.52,2039,0,104,34.08611184,6581,0.05,1838,0.0001,2.586122751235962
