time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/loss
43709,43.66968647999999,12562,615,0.1,20.01,0,0.0001,12361,3.650967836380005
43788,44.15252554,12587,616,0.1,20.13,0,0.0001,12386,2.6635146141052246
43844,44.14941261,12604,617,0.1,20.13,0,0.0001,12403,1.9010355472564697
43927,44.208186860000005,12630,618,0.1,20.23,0,0.0001,12429,3.6326069831848145
43983,44.25020188000001,12647,619,0.1,20.14,0,0.0001,12446,3.341273307800293
44037,43.93819123000001,12664,620,0.1,20.13,0,0.0001,12463,2.8634490966796875
44117,44.22579136000001,12689,621,0.1,20.21,0,0.0001,12488,2.2206602096557617
44170,45.002432240000005,12705,622,0.1,20.09,0,0.0001,12504,4.418187141418457
44262,45.22477545000001,12734,623,0.1,20.21,0,0.0001,12533,2.8402228355407715
44317,45.25874522000001,12751,624,0.1,20.22,0,0.0001,12550,3.51993465423584
44374,44.909188760000006,12769,625,0.1,20.24,0,0.0001,12568,1.984796166419983
44426,43.91956556000001,12785,626,0.1,20.24,0,0.0001,12584,2.9668102264404297
44490,43.94829723,12805,627,0.1,20.17,0,0.0001,12604,3.920804977416992
44577,43.83061978999999,12833,628,0.1,20.27,0,0.0001,12632,4.76285457611084
44632,43.33037143000001,12850,629,0.1,20.2,0,0.0001,12649,3.9892778396606445
44720,43.26892309,12878,630,0.1,20.28,0,0.0001,12677,4.6691107749938965
44785,43.75730812,12898,631,0.1,20.2,0,0.0001,12697,3.097064733505249
44866,43.33960745,12923,632,0.1,20.24,0,0.0001,12722,5.271420955657959
44959,43.62906863,12952,633,0.1,20.33,0,0.0001,12751,3.488328218460083
45042,43.54696797,12978,634,0.1,20.38,0,0.0001,12777,2.6697540283203125
45110,43.014744500000006,12999,635,0.1,20.42,0,0.0001,12798,2.3533453941345215
45165,43.727683420000005,13016,636,0.1,20.33,0,0.0001,12815,3.427424430847168
45241,43.49022612000001,13040,637,0.1,20.37,0,0.0001,12839,4.279930591583252
45290,44.30362273000001,13055,638,0.1,20.34,0,0.0001,12854,1.6069116592407227
45368,44.28803956000001,13080,639,0.1,20.34,0,0.0001,12879,3.718278408050537
45414,44.538572140000014,13094,640,0.1,20.26,0,0.0001,12893,4.153794765472412
45496,44.65256353000001,13120,641,0.1,20.26,0,0.0001,12919,2.4624764919281006
45551,45.507252940000015,13137,642,0.1,20.23,0,0.0001,12936,2.308072328567505
45603,45.50060720000001,13153,643,0.1,20.22,0,0.0001,12952,3.1812119483947754
45663,45.08045228000001,13171,644,0.1,20.23,0,0.0001,12970,2.952951431274414
45738,44.671992610000004,13194,645,0.1,20.29,0,0.0001,12993,3.253284215927124
45789,44.69332977,13210,646,0.1,20.19,0,0.0001,13009,2.5312154293060303
45844,44.736449580000006,13227,647,0.1,20.18,0,0.0001,13026,4.628680229187012
45924,45.34923367000001,13252,648,0.1,20.16,0,0.0001,13051,5.026505470275879
46007,45.00284872,13279,649,0.1,20.27,0,0.0001,13078,4.2075324058532715
46090,44.86497393,13306,650,0.1,20.37,0,0.0001,13105,3.5039849281311035
46172,45.093410539999994,13332,651,0.1,20.46,0,0.0001,13131,2.9116580486297607
46223,45.14502207999999,13348,652,0.1,20.38,0,0.0001,13147,4.433581829071045
46278,44.99677361,13365,653,0.1,20.39,0,0.0001,13164,3.92240834236145
46364,45.14646722,13392,654,0.1,20.37,0,0.0001,13191,2.171610116958618
46418,45.00509428,13409,655,0.1,20.37,0,0.0001,13208,5.345773696899414
46481,44.816405880000005,13428,656,0.1,20.41,0,0.0001,13227,3.6294338703155518
46533,45.13935952,13444,657,0.1,20.41,0,0.0001,13243,4.0795087814331055
46588,45.106630700000004,13461,658,0.1,20.3,0,0.0001,13260,1.9977322816848755
