time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss
0,1247,78.68975203448275,58,3079,21.5,0.05,0.0001,946,16.281869888305664
0,1266,81.21480479661017,59,3123,21.45762711864407,0.05,0.0001,965,18.393829345703125
0,1293,80.56364024999999,60,3182,21.55,0.05,0.0001,992,13.869572639465332
0,1320,81.00229157377049,61,3234,21.639344262295083,0.05,0.0001,1019,19.920686721801758
0,1344,79.22130508064517,62,3325,21.677419354838708,0.05,0.0001,1043,20.097366333007812
0,1371,79.58091052380952,63,3400,21.761904761904763,0.05,0.0001,1070,18.082080841064453
0,1392,78.774879296875,64,3448,21.75,0.05,0.0001,1091,16.858871459960938
0,1419,79.62253256923077,65,3511,21.83076923076923,0.05,0.0001,1118,14.38532829284668
0,1450,80.8676273030303,66,3575,21.96969696969697,0.05,0.0001,1149,22.881380081176758
0,1472,80.52589692537313,67,3618,21.970149253731343,0.05,0.0001,1171,14.021275520324707
0,1497,80.23265686764705,68,3669,22.014705882352942,0.05,0.0001,1196,13.278636932373047
0,1515,80.93979434782608,69,3707,21.956521739130434,0.05,0.0001,1214,19.27096939086914
0,1530,81.51679835714285,70,3748,21.857142857142858,0.05,0.0001,1229,14.828947067260742
0,1551,82.29509695774648,71,3810,21.845070422535212,0.05,0.0001,1250,14.894994735717773
0,1570,80.87300959722222,72,3858,21.805555555555557,0.05,0.0001,1269,13.077702522277832
0,1590,81.18340723287672,73,3908,21.78082191780822,0.05,0.0001,1289,19.23638343811035
0,1609,80.86618067567566,74,3957,21.743243243243242,0.05,0.0001,1308,18.936176300048828
0,1627,81.11155138666666,75,4004,21.69333333333333,0.05,0.0001,1326,18.88944435119629
0,1648,80.0158259736842,76,4060,21.68421052631579,0.05,0.0001,1347,15.715421676635742
0,1663,78.86271232467531,77,4097,21.5974025974026,0.05,0.0001,1362,13.635571479797363
0,1681,81.18124757692306,78,4142,21.55128205128205,0.05,0.0001,1380,16.637449264526367
0,1711,80.26008213924048,79,4231,21.658227848101266,0.05,0.0001,1410,21.288883209228516
0,1740,81.2664615125,80,4321,21.75,0.05,0.0001,1439,13.121329307556152
0,1760,83.13590486419753,81,4374,21.728395061728396,0.05,0.0001,1459,19.07546043395996
0,1785,83.80874958536586,82,4426,21.76829268292683,0.05,0.0001,1484,16.245723724365234
0,1807,81.90848365060242,83,4480,21.771084337349397,0.05,0.0001,1506,17.559770584106445
0,1826,82.26920515476192,84,4535,21.738095238095237,0.05,0.0001,1525,16.388547897338867
0,1847,81.71349484705884,85,4579,21.729411764705883,0.05,0.0001,1546,16.573654174804688
0,1872,81.44195946511628,86,4637,21.767441860465116,0.05,0.0001,1571,16.92420196533203
